id,exp_pct_share,exp_reflect,pos_enhances_research_quality,pos_helps_other_researchers,pos_enhances_research_visibility,pos_obligated_by_external_parties,pos_other_reasons,neg_data_is_exclusively_licensed,neg_data_is_subject_to_privacy_concerns,neg_data_code_are_valuable_intellectual_property,neg_data_code_are_part_of_ongoing_research,neg_concerns_about_unethical_usage,neg_concerns_that_own_work_is_discredited,neg_career_concerns_related_to_failed_replications_or_corrections,neg_transaction_costs_are_too_high,neg_concerns_about_data_code_quality,neg_other_reasons,dep_on_requesting_researcher,dep_on_tone_of_the_request,dep_on_reason_for_request,dep_other_reasons
4,50,"I do qualitative research and the risk of deanonymizing with full data is too high to make my data easily available. But if the person was nice, I might share a coding table or an unpublished appendix for example. (However, I think the spirit of a lot of these reproduction hunters in areas like psychology is rather unkind and perhaps looking to ""take down"" female and non-white researchers, so that's also a consideration especially if the topic is controversial.)",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
13,70,"Generally, I'd be inclined to share the data and code, but it depends on a) who the other researcher is (are they credible, do I know them) and b) whether I would be allowed to share the data and c) where allowed to share the data whether I am still working on a follow up paper, in which case I would share the materials once that paper is in the public domain.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
21,40,"It sounds like they are trying to disprove me. They're on a witch hunt. There's a good chance they are doing this to a lot of people and are, themselves, going to suffer from a file drawer problem. If they re-run 100 people's studies and find that 1 doesn't replicate, that's the one they will publish and descredit and shame the researcher, ignoring the fact that it was likely due to chance, and not noting the 99 who got it right.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,95,"Unless the data are proprietary with a nondisclosure agreement, I do not see a reason not to share. For code, it depends on whether I think the person is trying to replicate, or if they just want code because they are too lazy or lack the skill to do it themselves.",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
26,100,I belive in the reproducibility of science experiments. This is how science evolve,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,79,It depends if the data is proprietary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,100,"I think that a study should be reviewed after publication and ""corrected"" if there are arguments for this.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10,"I am working with qualitative data, mostly from ethnographic research. My main concern is that I so far do not see a way of anonymising or pseudonymising a whole data set comprising interview, observation, and document data. Publicly sharing this data violates privacy and data protection rules.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
36,81,"I want to help others and sharing data and code can help generate citations to my work. Additionally, refusing to share can carry risks that the requestor will try to stir up controversy around your findings and accuse you of misconduct. However, I would be hesitant to share broadly versus narrowly (i.e., to only the requestor) to avoid helping researchers who will try to undercut my work or use my data and code to create competing research papers that will hurt my publication chances on follow-up studies. I also do not want to help researchers who have previously harmed me and my research.",0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
41,90,"Code can be easily shared. With the data, which might be proprietary, can be more problematic. Also, I would have to be certain that the person making the request seems ok, that there is a genuine interest in improving something, and not just laziness on gathering the data or coding, or some more obscure purpose. That is, I would expect a sound letter from this person explaining what they plan to do with whatever they are requesting.",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
47,78,"If I have put in hours and hours of effort hand collecting data, I do not believe I am under any responsibility to give away the competitive advantage I developed from all that effort. If people have to give away their hand-collected data, fewer people will do it.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,80,I think this is good research practice and would like to answer 100%.  My level of trust in my peer researchers is quite a bit lower than that (I have seen too much) hence the 80% overall.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
49,0,Confident tax data,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,80,It depends how recent is the publication. I am generally open to sharing my code but a) I am not sure I can find the code for something published 20 years ago b) I would be reluctant to share something that is part of an active research program c) the code is often written by a co-author.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
55,0,"I usually work with comercial data, e.g. from compustat or IBES, which I must not provide to a third party. In addition, I do not see the use of providing code to a third party. If a researcher cannot replicate my empirical results, this should be clarified together with me or my co-authors.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100,"Replication, extension, etc are important for a healthy functioning scientific discipline.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,20,I don't want to have a paper that corrects my paper :),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
58,90,"It depends on (1) how I am approached (""friendly"" or ""unfriendly"" tone of mail/request) and (2) potentially the ""status""/name of the individual approaching me (or at least his/her affiliation).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
64,75,"I chose 75% percent because, in principle, I am in favor of making any research-related items public. However, there could be circumstances where this could be impossible (if data is protected) or undesirable for the researcher in the short run (e.g., where intensive data collection was done by hand). The latter is a tricky case because not making material available can hinder the scientific process. Therefore, I support the approach by some journals (like Management Science) to have a disclosure moratorium of a few years. One might be hesitant to share code because others could discover coding errors.",1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
65,70,if data is from public sources:  i will not send the data but will share how data/variables were computed.  May send part or all of the code. .  If data is proprietary: I will not share the data but will provide information regarding the code/computation. May send part or all of the code,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,80,"Data might be proprietary, so I might not be allowed to share it. Code can always be shared.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
78,60,It depends on who the scholar is. I'd rather have the Journal ask me about all this material and make it public in an official site.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
79,82,"I will be happy to share with reasonable researchers. in case I will use the (proprietary) data for further studies, I may hold it after till further studies are published.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
82,100,I don't have anything to hide. My data is also not sensitive (I do experiments; it's not like one would use the exact same data for a follow-up paper),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,100,"it's easy to do and potentially advances science/discovery, feel responsibility to other researchers, norms of science",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,60,"In general, I fully agree that we should do this.  In specific cases, if I would be asked, my response would depend on:  - the confidentiality of the data  - the required effort to bring the data/code into a form that it can be shared (i.e., the effort for cleaning, anonymizing etc.)  - the credibility/standing of the researcher that requests the data (I would probably not share the data and code with a person I have never heard about and who has never published in a respectable journal)",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
89,100,To prove research integrity of my work. To generate traction with (and increase visibility of) my published work.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,75,"No problem sharing research materials, so long as they can be anonymized.  I worry about sharing the actual data, as some of it could be qualitative and more difficult to anonymize.  Would need to make sure we conform with confidentiality agreements with participating individuals and organizations.",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
91,100,research expansion.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,50,"Depends on the paper - if the data is publicly available or self-collected, I would be more likely to do it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,95,"I did not say 100% as I think there is a chance I may not share my data in the case that I believe this is not a request coming from a 'real' person/researcher (like a bot or similar). Otherwise, I see no impediment. Hopefully, they find the data/code/instrument useful.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
94,95,I think her request is reasonable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,80,It depends on whether I believe the request is a credible request.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,25,"I very often use hand-collected data, and these are used for multiple projects.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100,75,"I would generally agree to share codes and data. In some cases, however the original data might have implied high collection costs and been protected by legal agreement. If that was the case, I would agree on sharing some ready to use measures but not the original data",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
101,90,"one must share these materials upon request, it's the premise of the scientific process",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,100,I would feel obligated to comply completely,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,Qualitative data are confidential. Ethics approval strongly restricts access to data by others.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
108,100,Important to let people replicate the results and build on my research to create new insights,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,90,low cost,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,50,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,100,"As long as the data agreement allows sharing, data should be shared. Code & supplemental information should be shared anyways, especially upon request.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
119,70,"There are times when the data that I use was obtained under a license. If so, I cannot share the data unless the researcher has access to the underlying data themselves.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,90,Would always respond if the researcher a[[eared to be reputable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,20,avoid risk of being criticized,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
122,75,I would need to have additional information regarding their use of the materials.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,75,"I would likely share the material, but I would want to know more about the nature of their request.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
130,5,"My data includes confidential materials collected through interviews and internal company documents such as personal e-mails etc., sharing would constitute a huge problem with the case company.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,90,We should have more replication studies in accounting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,90,Transparency in research is a good thing.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,84,"I have shared my instruments 100% of the time I have been asked, no questions asked. I've shared my code with a few colleagues to show them how I tackled something re: variables or analyses but no one has ever asked for all of my code or for my data. So that feels a little more unusual. Honestly, I don't have anything to hide but it still feels suspicious or like an intrusion. I don't know why I feel that way, it just feels a little more personal. I'm pretty sure I would eventually say yes but I likely would ask to clarify why they need data and code (on top of instrument) before handing it over. For a request for the instrument, my reply email would include the instrument as an attachment. For a request for the other stuff, my reply email probably wouldn't include those attachments, but could on follow-up.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
135,100,"My belief in research is that it should be collaborative, something that can be replicated, and transparent as much as possible.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,80,"Generally I will (and have) shared the research data, either upon request or by default. In case I would be working on a follow-up study with the same data, I may be more reluctant to immediately share the data.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,70,"As long as I understand the purpose of the request, I am likely to comply with the request.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
144,90,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,100,We serve the public,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,100,"I'm a strong believer in ""open source"" research. When in control of projects, I have made code and data available. (Mind you, generally co-authors have a say and do not want to share.) I have a lot of experience in replicating papers. In most cases replication is only really possible with access to code and data. Papers after ~2000 generally are very fragile.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,71,It is good to do it,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
153,49,"I would first like to know what the concerns are, such that I could learn from the process as well.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
154,75,"Many academics, including me, are constantly working under high pressure to deliver performance and  short of time to fulfill a large range of commitments. It is simply impossible to entertain each and every such request, especially when replying to the first might lead to feeling the obligation to answer more questions from the requester in the future. A requester can be a relatively inexperienced graduate student exploring a doctoral topic, which has implications to how many questions s/he might have in the future. Thus, the propensity to reply to a request often depends on the status of the requester in the field and the anticipated consequences (or the lack of) of entertaining the request (or not).",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
155,15,Concerns over anonymity of data,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
156,90,"I would definitely share the research instruments. With regard to code and data, it also depends on the nature of the code and data and the identity of the other researcher.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
159,95,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,74,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,92,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,80,"There is some chance such a request may not be in good faith; for virtually any empirical test, there exists an alternative specification which can force the results to go away; a researcher whose primary interest seems to be in finding this, rather than acting in good faith, may not be one that I would cooperate with. Otherwise I see no reason not to share.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
170,30,"I would be more inclined to share privately and more inclined to share these items for an experimental study as compared to an archival study.  In my opinion, it is too easy to criticize authors of archival studies for the many, many choices they have to make in the process of conducting social science research. I would be suspicious of the motives behind the request.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
171,100,I have shared materials with other researchers before including PhD students who have reanalyzed data. So I am basing my response on my past behavior.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,90,"I would share with most anyone. I reserve the right, depending on the academic, to withhold sharing. I have shared in the past and the researcher came back and was very rude and wrote bad things about me (accusing me of being racist even though I had shared the very expensive data). I wouldn't share with her again as I thought was completely unprofessional.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
173,80,"I would generally be in favor, but I would have some more question. For example, if a correction study will be put in public domain I would request to have the chance to read it first and have the authors address my comments/questions. The other reason for not going 100% is that it depends what data we are talking about (is it hand collected data that I sent hundreds of hours creating?",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
174,100,Part of the research process,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,24,I would not share if i had other work in progress based on the materials.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
176,90,My only hesitation would be if the data were protected. I would 100% share code,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
177,80,"It is somewhat hard to quantify this exactly, but my starting point is that material, data, code, etc. should be publicly available, so if not already available in e.g. a data repository, the only correct response would be to comply with the request. Of course, within 'reasonable limits', so if someone today would approach me about data, code, etc. from 10 years ago, I probably would be unable to comply because I simply would be unable. There might be limited instances also of proprietary data, or so, so the chance of complying isn't 100% but surely high. In practice, I've received a few (not any) of such requests and always been able to comply.",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
178,80,"It would depend on whether there was some aspect of the study I needed to use in future studies - e.g., data that had value that would be reduced if I made it publicly available to others.",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
179,96,"I can only imagine not sharing this if I had very bad vibes about the request...no clear explanation of why the request is made, no greeting, spelling errors, etc.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
180,88,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,70,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,Cannot share data due to IRB rules.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,50,"I’d be on the fence. On one hand, I’m happy to help others and I have nothing to hide. On the other, preparing the data and code is a LOT of work and I would not want someone to “free ride.” I would expect to receive some credit for it (I.e., co-authorship).",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
185,90,Open science is good science.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,100,I'm a theorist and need citations,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,100,"Our job is to generate insights/knowledge. Sharing materials creates a) transparency b) protects me in case I made an error (""being forthcoming, transparent"") and c) it reduces work/effort for other researchers (i.e., standing on the shoulders of giants). If we have learned one thing from the innovation literature, it is that we rely on prior research. Why make it unnecessarily hard for other to replicate results.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,80,Sometimes code becomes IP at some point.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,60,There might have been substantial workload flown into collecting data that also will benefit follow-up projects. Giving away the data might harm future projects without remuneration for the collection effort.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
191,96,Generally I am happy to share.  There is a slight chance that I don't think their request is legitimate or made with good intentions that I might not respond positively.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
192,40,"I think I feel like my data, coding, and research materials are mine (i.e., I feel somewhat possessive over them), given the hundreds (if not thousands) of hours spent to generate them. It bothers me to some extent to think of someone using my materials without me knowing exactly what they're doing and without me giving my explicit permission for these materials to be used in that specific way.",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
193,75,"Sharing of materials is generally a good idea. However, there are some purposes not worth supporting (e.g., ""reverse"" p-hacking).",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
194,100,"I strongly believe in research reproducibility as being crucial to valid inferences. I also note that it is necessary but not sufficient, insofar as errors (coding, functional form, outlier treatment, deflation) will not be detected via simple replication. To the extent that people reuse my code/data, it will also increase my citation count and other measures of influence.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,40,"Code is generally proprietary, and I am hesitant to share it. I would need more information on what the researcher is working on before sharing it, and I would want to know I can trust the other researcher not to give the code out to others or use it to compete with work I am still doing. Generally it would be on the inquiring researcher to replicate code. If the research had a specific problem them couldn't solve, I would be more open to sharing pieces of code.",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
196,60,depends on whether i know the researcher and his/her background,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
197,10,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,76,I would like to know the true intent of the researcher. Is it to further knowledge or show that inferences can change using different assumptions. Every study has assumptions and changing the assumptions might change the inferences. This shouldn't b surprising to anyone.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
199,95,"This is science, it's how we learn. And I have nothing to hide.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,90,I don't think there is anything to hide in the data.  The party that asks has to be known and trustworthy.,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
201,100,I know my research will be reproducible as I am extremely meticulous about my work,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,90,"I would have no problem in sharing the dataset, although I would be reluctant to provide proprietart data or survey-based data.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
203,10,"I typically use confidential data that I cannot share.   The programs without the data are not very useful and they can reveal confidential information, like the name of the firm.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
204,80,"I am open to sharing most everything. However, there is some context that might contribute to lack of trust in the request and the ultimate intent. There is definitely some variation in what researchers believe is ethical.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
205,70,"Data may not be shareable due to legal agreements. I already share much of my code; however, some of it is messy and may take time to clean. Also, results can be p-hacked away (e.g., much of Miguel's work)",0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
206,20,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,80,"I like to encourage others to build off of my own work, but I don't like to share data if I am using that data for a follow-up study that is not yet published.",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
209,90,I will comply the request to the extent there is no proprietary data.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
210,100,I always make supporting information available to other researchers when requested. It may help them learn our process and expand upon our work.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,85,Sharing data and code should be strongly encouraged. I would personally love to do that except when the data collection is costly and I have another ongoing project using the same data.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
212,66,"If the data is extremely hard to get and I am still producing papers based on the data, I would be unlikely to share it (although I would make it clear that I would consider sharing it in the future). If I am largely done using this data I would be more likely to share it. If the data is easily available I may share it if the researcher clearly needs help (e.g., a PhD student); however, I would expect experienced researchers to be able to obtain common data easily (of course, I would consider sharing any proprietary analyses/code etc...)",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
213,85,The request is entirely reasonable. I am withholding a small fraction in case there were a situation where there is a conflict of interest or doubt as to whether the researcher would be able to conduct the proposed study with the appropriate rigor.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
214,100,"I feel strongly about reproducibility of academic research and would be glad to share materials to aid in a reproduction of my study. Additionally, a new study showing different results is equally valuable to the literature.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,70,"It takes a lot of time to develop a study, especially if hand gathering data and writing code. That's a lot of effort to hand to another person. We try to develop programs of research to aid in the publication process (for promotion and tenure decisions).",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
216,75,"There are only three reasons I would not share. One is if the data is in some way proprietary--e.g., restricted by an NDA. The second is if I seriously questioned the integrity or intentions of the person requesting me to share. The third is if it was extremely time-consuming to comply with the request.",0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0
217,90,"I would comply with the request, almost definitely. The only hesitation would be if the other researcher was known to be disingenuous in their reasoning for the project. For example, if the researcher was known to be more interested in proving prior work wrong than getting an objectively more correct answer.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
218,5,Everything that the researcher needs to know should be knowable from the published paper.  I would happily respond to questions but shipping over data (which is illegal if they don't have valid access) and programs seems excessive.  They should do their own work if they want to replicate.,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
219,70,I try to be transparent and helpful. I have nothing to hide.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,8,I have put a large amount of effort in collecting the data.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,75,"In principle yes, unless there are limitations to data sharing (e.g., due to a non-disclosure agreement). That's the 25% 'doubt'.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,75,"I would be willing to share the data, unless I got it from a proprierary dtatbase for whihc I paid, in whihc case I can't share it. I won't want to share the code as that is my own IP. Even handcollected data has some measure of IP in it, so I can only share it after I am finished with the data - or if the other researchers undertake not to use my data without my permission.",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
223,99,"As long as it is a researcher from a recognized academic or professional organization I would provide the same.  So-called ""independent researchers"" would be judged on a case by case basis.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
